MISO Hourly Actual Load (megawatt) by Local Resource Zone
Hourly actual load data by local resource zone for MISO
Source: EIA collected from MISO
UTC Timestamp (Interval Ending),Local Timestamp Eastern Standard Time (Interval Beginning),Local Timestamp Eastern Standard Time (Interval Ending),Local Date,Hour Number,MISO Total Actual Load (MW),"LRZ 1 (States: MT, ND, SD, MN, WI, IL)
Balancing Authorities: DPC, GRE, MDU, MP, NSP, OTP, SMP Actual Load (MW)","LRZ 2, 7 (States: WI, MI)
Balancing Authorities: ALTE, MGE, UPPC, WEC, WPS, MIUP, CONS, DECO Actual Load (MW)","LRZ 3, 5 (States: MN, IA, KS, IL)
Balancing Authorities: ALTW, MEC, MPW, AMMO, CWLD Actual Load (MW)","LRZ 4 (States: IL)
Balancing Authorities: AMIL, CWLP, SIPC Actual Load (MW)","LRZ 6 (States: IN)
Balancing Authorities: BREC, CIN, HE, IPL, NIPSCO, SIGE Actual Load (MW)","LRZ 8, 9, 10 (States: MO, TX, MS, AL)
Balancing Authorities: EAI, CLEC, EES, LAFA, LAGN, LEPA, EMBA, SME Actual Load (MW)"
2023-01-01 06:00:00,2023-01-01 00:00:00,2023-01-01 01:00:00,2023-01-01,1,63070.04,10296.05,14758.67,8743.95,4484.0,8747.63,16039.74
2023-01-01 07:00:00,2023-01-01 01:00:00,2023-01-01 02:00:00,2023-01-01,2,61633.42,10001.69,14287.62,8539.76,4363.72,8653.46,15787.17
2023-01-01 08:00:00,2023-01-01 02:00:00,2023-01-01 03:00:00,2023-01-01,3,60371.54,9801.17,13952.18,8382.17,4257.72,8419.03,15559.27
2023-01-01 09:00:00,2023-01-01 03:00:00,2023-01-01 04:00:00,2023-01-01,4,59517.65,9683.56,13735.3,8283.29,4179.97,8268.66,15366.87
2023-01-01 10:00:00,2023-01-01 04:00:00,2023-01-01 05:00:00,2023-01-01,5,59121.89,9648.4,13604.44,8281.63,4132.23,8235.78,15219.41
2023-01-01 11:00:00,2023-01-01 05:00:00,2023-01-01 06:00:00,2023-01-01,6,59325.45,9688.37,13690.14,8352.9,4135.48,8263.48,15195.08
2023-01-01 12:00:00,2023-01-01 06:00:00,2023-01-01 07:00:00,2023-01-01,7,60031.18,9824.7,13919.64,8487.96,4183.97,8272.66,15342.25
2023-01-01 13:00:00,2023-01-01 07:00:00,2023-01-01 08:00:00,2023-01-01,8,61287.05,9993.56,14330.51,8700.76,4264.26,8387.98,15609.98
2023-01-01 14:00:00,2023-01-01 08:00:00,2023-01-01 09:00:00,2023-01-01,9,62373.8,10297.83,14684.37,8903.78,4312.86,8379.29,15795.67
2023-01-01 15:00:00,2023-01-01 09:00:00,2023-01-01 10:00:00,2023-01-01,10,63722.52,10497.22,15081.21,8997.31,4354.04,8533.01,16259.73
2023-01-01 16:00:00,2023-01-01 10:00:00,2023-01-01 11:00:00,2023-01-01,11,64565.07,10483.42,15494.79,8972.64,4380.76,8687.34,16546.12
2023-01-01 17:00:00,2023-01-01 11:00:00,2023-01-01 12:00:00,2023-01-01,12,64877.43,10402.15,15786.33,8886.21,4352.14,8738.86,16711.74
2023-01-01 18:00:00,2023-01-01 12:00:00,2023-01-01 13:00:00,2023-01-01,13,65092.64,10342.77,15917.89,8870.38,4346.82,8778.03,16836.75
2023-01-01 19:00:00,2023-01-01 13:00:00,2023-01-01 14:00:00,2023-01-01,14,64870.72,10266.47,15912.09,8821.57,4325.54,8666.27,16878.78
2023-01-01 20:00:00,2023-01-01 14:00:00,2023-01-01 15:00:00,2023-01-01,15,64370.37,10197.59,15837.47,8727.09,4314.98,8522.66,16770.58
2023-01-01 21:00:00,2023-01-01 15:00:00,2023-01-01 16:00:00,2023-01-01,16,64123.7,10278.94,15813.49,8674.03,4299.36,8554.89,16502.99
2023-01-01 22:00:00,2023-01-01 16:00:00,2023-01-01 17:00:00,2023-01-01,17,64770.73,10616.36,16038.74,8717.36,4344.12,8560.26,16493.89
2023-01-01 23:00:00,2023-01-01 17:00:00,2023-01-01 18:00:00,2023-01-01,18,66955.47,11134.12,16840.25,8967.75,4500.8,8828.79,16683.76
2023-01-02 00:00:00,2023-01-01 18:00:00,2023-01-01 19:00:00,2023-01-01,19,69559.36,11750.36,17257.72,9460.84,4701.99,9011.03,17377.42
2023-01-02 01:00:00,2023-01-01 19:00:00,2023-01-01 20:00:00,2023-01-01,20,69451.54,11738.01,17030.21,9463.55,4690.42,8869.05,17660.3
2023-01-02 02:00:00,2023-01-01 20:00:00,2023-01-01 21:00:00,2023-01-01,21,68418.83,11590.95,16693.33,9346.09,4608.5,8762.06,17417.9
2023-01-02 03:00:00,2023-01-01 21:00:00,2023-01-01 22:00:00,2023-01-01,22,67084.24,11386.66,16200.24,9210.87,4517.68,8615.24,17153.55
