"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20220530.csv"
"C","Report for 05/30/2022"
"C","Report generated 08/12/2024 16:43:47 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","05/30/2022","00:10:57","Hydro","Hydro",566,"No"
"D","05/30/2022","00:10:57","Natural Gas","Natural Gas",5182,"Yes"
"D","05/30/2022","00:10:57","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","00:10:57","Other","Other",0,"No"
"D","05/30/2022","00:10:57","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","00:10:57","Refuse","Renewables",366,"No"
"D","05/30/2022","00:10:57","Wind","Renewables",318,"No"
"D","05/30/2022","00:10:57","Wood","Renewables",171,"No"
"D","05/30/2022","00:21:36","Hydro","Hydro",560,"No"
"D","05/30/2022","00:21:36","Natural Gas","Natural Gas",5141,"Yes"
"D","05/30/2022","00:21:36","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","00:21:36","Other","Other",4,"No"
"D","05/30/2022","00:21:36","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","00:21:36","Refuse","Renewables",355,"No"
"D","05/30/2022","00:21:36","Wind","Renewables",303,"No"
"D","05/30/2022","00:21:36","Wood","Renewables",171,"No"
"D","05/30/2022","00:22:39","Hydro","Hydro",560,"No"
"D","05/30/2022","00:22:39","Natural Gas","Natural Gas",5141,"Yes"
"D","05/30/2022","00:22:39","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","00:22:39","Other","Other",4,"No"
"D","05/30/2022","00:22:39","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","00:22:39","Refuse","Renewables",355,"No"
"D","05/30/2022","00:22:39","Wind","Renewables",303,"No"
"D","05/30/2022","00:22:39","Wood","Renewables",171,"No"
"D","05/30/2022","00:39:09","Hydro","Hydro",561,"No"
"D","05/30/2022","00:39:09","Natural Gas","Natural Gas",4488,"Yes"
"D","05/30/2022","00:39:09","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","00:39:09","Other","Other",5,"No"
"D","05/30/2022","00:39:09","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","00:39:09","Refuse","Renewables",359,"No"
"D","05/30/2022","00:39:09","Wind","Renewables",290,"No"
"D","05/30/2022","00:39:09","Wood","Renewables",174,"No"
"D","05/30/2022","00:53:18","Hydro","Hydro",560,"No"
"D","05/30/2022","00:53:18","Natural Gas","Natural Gas",4594,"Yes"
"D","05/30/2022","00:53:18","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","00:53:18","Other","Other",7,"No"
"D","05/30/2022","00:53:18","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","00:53:18","Refuse","Renewables",372,"No"
"D","05/30/2022","00:53:18","Wind","Renewables",274,"No"
"D","05/30/2022","00:53:18","Wood","Renewables",175,"No"
"D","05/30/2022","01:07:08","Hydro","Hydro",516,"No"
"D","05/30/2022","01:07:08","Natural Gas","Natural Gas",4159,"Yes"
"D","05/30/2022","01:07:08","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","01:07:08","Other","Other",4,"No"
"D","05/30/2022","01:07:08","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","01:07:08","Refuse","Renewables",371,"No"
"D","05/30/2022","01:07:08","Wind","Renewables",302,"No"
"D","05/30/2022","01:07:08","Wood","Renewables",176,"No"
"D","05/30/2022","01:20:25","Hydro","Hydro",506,"No"
"D","05/30/2022","01:20:25","Natural Gas","Natural Gas",3980,"Yes"
"D","05/30/2022","01:20:25","Nuclear","Nuclear",2118,"No"
"D","05/30/2022","01:20:25","Other","Other",10,"No"
"D","05/30/2022","01:20:25","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","01:20:25","Refuse","Renewables",372,"No"
"D","05/30/2022","01:20:25","Wind","Renewables",323,"No"
"D","05/30/2022","01:20:25","Wood","Renewables",178,"No"
"D","05/30/2022","01:30:56","Hydro","Hydro",511,"No"
"D","05/30/2022","01:30:56","Natural Gas","Natural Gas",3840,"Yes"
"D","05/30/2022","01:30:56","Nuclear","Nuclear",2118,"No"
"D","05/30/2022","01:30:56","Other","Other",4,"No"
"D","05/30/2022","01:30:56","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","01:30:56","Refuse","Renewables",375,"No"
"D","05/30/2022","01:30:56","Wind","Renewables",335,"No"
"D","05/30/2022","01:30:56","Wood","Renewables",178,"No"
"D","05/30/2022","01:38:11","Hydro","Hydro",501,"No"
"D","05/30/2022","01:38:11","Natural Gas","Natural Gas",3758,"Yes"
"D","05/30/2022","01:38:11","Nuclear","Nuclear",2117,"No"
"D","05/30/2022","01:38:11","Other","Other",13,"No"
"D","05/30/2022","01:38:11","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","01:38:11","Refuse","Renewables",372,"No"
"D","05/30/2022","01:38:11","Wind","Renewables",322,"No"
"D","05/30/2022","01:38:11","Wood","Renewables",179,"No"
"D","05/30/2022","01:51:23","Hydro","Hydro",492,"No"
"D","05/30/2022","01:51:23","Natural Gas","Natural Gas",3694,"Yes"
"D","05/30/2022","01:51:23","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","01:51:23","Other","Other",3,"No"
"D","05/30/2022","01:51:23","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","01:51:23","Refuse","Renewables",374,"No"
"D","05/30/2022","01:51:23","Wind","Renewables",283,"No"
"D","05/30/2022","01:51:23","Wood","Renewables",179,"No"
"D","05/30/2022","02:07:09","Hydro","Hydro",493,"No"
"D","05/30/2022","02:07:09","Natural Gas","Natural Gas",3552,"Yes"
"D","05/30/2022","02:07:09","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","02:07:09","Other","Other",0,"No"
"D","05/30/2022","02:07:09","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","02:07:09","Refuse","Renewables",367,"No"
"D","05/30/2022","02:07:09","Wind","Renewables",307,"No"
"D","05/30/2022","02:07:09","Wood","Renewables",176,"No"
"D","05/30/2022","02:16:21","Hydro","Hydro",493,"No"
"D","05/30/2022","02:16:21","Natural Gas","Natural Gas",3552,"Yes"
"D","05/30/2022","02:16:21","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","02:16:21","Other","Other",0,"No"
"D","05/30/2022","02:16:21","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","02:16:21","Refuse","Renewables",367,"No"
"D","05/30/2022","02:16:21","Wind","Renewables",307,"No"
"D","05/30/2022","02:16:21","Wood","Renewables",176,"No"
"D","05/30/2022","02:24:07","Hydro","Hydro",485,"No"
"D","05/30/2022","02:24:07","Natural Gas","Natural Gas",3727,"No"
"D","05/30/2022","02:24:07","Nuclear","Nuclear",2117,"No"
"D","05/30/2022","02:24:07","Other","Other",26,"No"
"D","05/30/2022","02:24:07","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","02:24:07","Refuse","Renewables",371,"No"
"D","05/30/2022","02:24:07","Wind","Renewables",332,"No"
"D","05/30/2022","02:24:07","Wood","Renewables",177,"Yes"
"D","05/30/2022","02:45:00","Hydro","Hydro",494,"No"
"D","05/30/2022","02:45:00","Natural Gas","Natural Gas",3709,"Yes"
"D","05/30/2022","02:45:00","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","02:45:00","Other","Other",9,"No"
"D","05/30/2022","02:45:00","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","02:45:00","Refuse","Renewables",371,"No"
"D","05/30/2022","02:45:00","Wind","Renewables",326,"No"
"D","05/30/2022","02:45:00","Wood","Renewables",179,"No"
"D","05/30/2022","02:53:48","Hydro","Hydro",494,"No"
"D","05/30/2022","02:53:48","Natural Gas","Natural Gas",3574,"Yes"
"D","05/30/2022","02:53:48","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","02:53:48","Other","Other",10,"No"
"D","05/30/2022","02:53:48","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","02:53:48","Refuse","Renewables",372,"No"
"D","05/30/2022","02:53:48","Wind","Renewables",324,"No"
"D","05/30/2022","02:53:48","Wood","Renewables",175,"No"
"D","05/30/2022","03:13:16","Hydro","Hydro",487,"No"
"D","05/30/2022","03:13:16","Natural Gas","Natural Gas",3585,"Yes"
"D","05/30/2022","03:13:16","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","03:13:16","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","03:13:16","Refuse","Renewables",374,"No"
"D","05/30/2022","03:13:16","Wind","Renewables",339,"No"
"D","05/30/2022","03:13:16","Wood","Renewables",173,"No"
"D","05/30/2022","03:22:04","Hydro","Hydro",485,"No"
"D","05/30/2022","03:22:04","Natural Gas","Natural Gas",3528,"Yes"
"D","05/30/2022","03:22:04","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","03:22:04","Other","Other",16,"No"
"D","05/30/2022","03:22:04","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","03:22:04","Refuse","Renewables",376,"No"
"D","05/30/2022","03:22:04","Wind","Renewables",367,"No"
"D","05/30/2022","03:22:04","Wood","Renewables",172,"No"
"D","05/30/2022","03:36:39","Hydro","Hydro",485,"No"
"D","05/30/2022","03:36:39","Natural Gas","Natural Gas",3558,"Yes"
"D","05/30/2022","03:36:39","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","03:36:39","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","03:36:39","Refuse","Renewables",366,"No"
"D","05/30/2022","03:36:39","Wind","Renewables",393,"No"
"D","05/30/2022","03:36:39","Wood","Renewables",171,"No"
"D","05/30/2022","03:53:04","Hydro","Hydro",486,"No"
