"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20210101_20211231.csv"
"C","Report for: 01/01/2021 - 12/31/2021"
"C","Report generated: 08/15/2024 14:22:31 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","01/01/2021","01",12480.49
"D","01/01/2021","02",12373.18
"D","01/01/2021","03",12147.69
"D","01/01/2021","04",12271.38
"D","01/01/2021","05",12373.11
"D","01/01/2021","06",12212.24
"D","01/01/2021","07",12363.14
"D","01/01/2021","08",12562.48
"D","01/01/2021","09",12569.11
"D","01/01/2021","10",12560.79
"D","01/01/2021","11",12561.08
"D","01/01/2021","12",12624.14
"D","01/01/2021","13",12766.83
"D","01/01/2021","14",13380.18
"D","01/01/2021","15",13732.27
"D","01/01/2021","16",14335.66
"D","01/01/2021","17",15228.96
"D","01/01/2021","18",15884.87
"D","01/01/2021","19",15595.68
"D","01/01/2021","20",15052.9
"D","01/01/2021","21",14469.46
"D","01/01/2021","22",13780.43
"D","01/01/2021","23",12955.9
"D","01/01/2021","24",12345.06
"D","01/02/2021","01",11703.84
"D","01/02/2021","02",11380.08
"D","01/02/2021","03",11350.98
"D","01/02/2021","04",11202.09
"D","01/02/2021","05",11244.61
"D","01/02/2021","06",11503.22
"D","01/02/2021","07",11985.75
"D","01/02/2021","08",12556.16
"D","01/02/2021","09",13041.92
"D","01/02/2021","10",13500.4
"D","01/02/2021","11",13431.84
"D","01/02/2021","12",13358.25
"D","01/02/2021","13",12727.89
"D","01/02/2021","14",12770.2
"D","01/02/2021","15",13185.97
"D","01/02/2021","16",13691.14
"D","01/02/2021","17",14574.75
"D","01/02/2021","18",15533.81
"D","01/02/2021","19",15392.44
"D","01/02/2021","20",14916.09
"D","01/02/2021","21",14357.54
"D","01/02/2021","22",13734.71
"D","01/02/2021","23",12979.3
"D","01/02/2021","24",12299.28
"D","01/03/2021","01",12076.09
"D","01/03/2021","02",11971.59
"D","01/03/2021","03",11793.21
"D","01/03/2021","04",11746.35
"D","01/03/2021","05",11833.52
"D","01/03/2021","06",11886.73
"D","01/03/2021","07",12078.23
"D","01/03/2021","08",12601.07
"D","01/03/2021","09",12982.66
"D","01/03/2021","10",13605.85
"D","01/03/2021","11",14112.52
"D","01/03/2021","12",14508.42
"D","01/03/2021","13",14764.84
"D","01/03/2021","14",14822.89
"D","01/03/2021","15",14977.1
"D","01/03/2021","16",15204.4
"D","01/03/2021","17",16055.94
"D","01/03/2021","18",16683.54
"D","01/03/2021","19",16378.89
"D","01/03/2021","20",15732.95
"D","01/03/2021","21",14996.64
"D","01/03/2021","22",14074.76
"D","01/03/2021","23",13052.9
"D","01/03/2021","24",12152.08
"D","01/04/2021","01",11790.02
"D","01/04/2021","02",11710.87
"D","01/04/2021","03",11724.49
"D","01/04/2021","04",11851.81
"D","01/04/2021","05",12072.79
"D","01/04/2021","06",12496.5
"D","01/04/2021","07",13547.1
"D","01/04/2021","08",14698.41
"D","01/04/2021","09",15299.23
"D","01/04/2021","10",15417.3
"D","01/04/2021","11",15246.63
"D","01/04/2021","12",15019.82
"D","01/04/2021","13",14644.15
"D","01/04/2021","14",14532.8
"D","01/04/2021","15",14540.99
"D","01/04/2021","16",15021.71
"D","01/04/2021","17",15925.84
"D","01/04/2021","18",16831.35
"D","01/04/2021","19",16633.33
"D","01/04/2021","20",16085.84
"D","01/04/2021","21",15351.8
"D","01/04/2021","22",14428.72
"D","01/04/2021","23",13366.35
"D","01/04/2021","24",12571.4
"D","01/05/2021","01",12023.76
"D","01/05/2021","02",11650.57
"D","01/05/2021","03",11487.82
"D","01/05/2021","04",11512.83
"D","01/05/2021","05",11843.94
"D","01/05/2021","06",12411.19
"D","01/05/2021","07",13669.1
"D","01/05/2021","08",14766.74
"D","01/05/2021","09",15268.79
"D","01/05/2021","10",15230.9
"D","01/05/2021","11",15126.47
"D","01/05/2021","12",15138.1
"D","01/05/2021","13",15149.2
"D","01/05/2021","14",15197.94
"D","01/05/2021","15",15286.98
"D","01/05/2021","16",15552.15
"D","01/05/2021","17",16358.64
"D","01/05/2021","18",17105.11
"D","01/05/2021","19",16834.71
"D","01/05/2021","20",16219.09
"D","01/05/2021","21",15429.38
"D","01/05/2021","22",14461.8
"D","01/05/2021","23",13368.59
"D","01/05/2021","24",12418.36
"D","01/06/2021","01",11869.7
"D","01/06/2021","02",11921.1
"D","01/06/2021","03",11796.68
"D","01/06/2021","04",11792.41
"D","01/06/2021","05",12338.77
"D","01/06/2021","06",12749.32
"D","01/06/2021","07",13868.1
"D","01/06/2021","08",14974.75
"D","01/06/2021","09",15365.54
"D","01/06/2021","10",14952.71
"D","01/06/2021","11",14534.93
