Time Stamp,Time Zone,Fuel Category,Gen MW
01/03/2023 00:05:00,EST,Dual Fuel,2985.0
01/03/2023 00:05:00,EST,Natural Gas,2350.0
01/03/2023 00:05:00,EST,Nuclear,3345.0
01/03/2023 00:05:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:05:00,EST,Other Renewables,243.0
01/03/2023 00:05:00,EST,Wind,104.0
01/03/2023 00:05:00,EST,Hydro,2889.0
01/03/2023 00:10:00,EST,Dual Fuel,3085.0
01/03/2023 00:10:00,EST,Natural Gas,2326.0
01/03/2023 00:10:00,EST,Nuclear,3345.0
01/03/2023 00:10:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:10:00,EST,Other Renewables,240.0
01/03/2023 00:10:00,EST,Wind,113.0
01/03/2023 00:10:00,EST,Hydro,2843.0
01/03/2023 00:15:00,EST,Dual Fuel,3074.0
01/03/2023 00:15:00,EST,Natural Gas,2321.0
01/03/2023 00:15:00,EST,Nuclear,3346.0
01/03/2023 00:15:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:15:00,EST,Other Renewables,230.0
01/03/2023 00:15:00,EST,Wind,128.0
01/03/2023 00:15:00,EST,Hydro,2781.0
01/03/2023 00:20:00,EST,Dual Fuel,3063.0
01/03/2023 00:20:00,EST,Natural Gas,2307.0
01/03/2023 00:20:00,EST,Nuclear,3345.0
01/03/2023 00:20:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:20:00,EST,Other Renewables,220.0
01/03/2023 00:20:00,EST,Wind,157.0
01/03/2023 00:20:00,EST,Hydro,2751.0
01/03/2023 00:25:00,EST,Dual Fuel,3020.0
01/03/2023 00:25:00,EST,Natural Gas,2305.0
01/03/2023 00:25:00,EST,Nuclear,3344.0
01/03/2023 00:25:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:25:00,EST,Other Renewables,230.0
01/03/2023 00:25:00,EST,Wind,163.0
01/03/2023 00:25:00,EST,Hydro,2738.0
01/03/2023 00:30:00,EST,Dual Fuel,2940.0
01/03/2023 00:30:00,EST,Natural Gas,2305.0
01/03/2023 00:30:00,EST,Nuclear,3345.0
01/03/2023 00:30:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:30:00,EST,Other Renewables,223.0
01/03/2023 00:30:00,EST,Wind,148.0
01/03/2023 00:30:00,EST,Hydro,2733.0
01/03/2023 00:35:00,EST,Dual Fuel,2860.0
01/03/2023 00:35:00,EST,Natural Gas,2306.0
01/03/2023 00:35:00,EST,Nuclear,3343.0
01/03/2023 00:35:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:35:00,EST,Other Renewables,230.0
01/03/2023 00:35:00,EST,Wind,142.0
01/03/2023 00:35:00,EST,Hydro,2739.0
01/03/2023 00:40:00,EST,Dual Fuel,2813.0
01/03/2023 00:40:00,EST,Natural Gas,2309.0
01/03/2023 00:40:00,EST,Nuclear,3346.0
01/03/2023 00:40:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:40:00,EST,Other Renewables,230.0
01/03/2023 00:40:00,EST,Wind,145.0
01/03/2023 00:40:00,EST,Hydro,2758.0
01/03/2023 00:45:00,EST,Dual Fuel,2789.0
01/03/2023 00:45:00,EST,Natural Gas,2311.0
01/03/2023 00:45:00,EST,Nuclear,3345.0
01/03/2023 00:45:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:45:00,EST,Other Renewables,227.0
01/03/2023 00:45:00,EST,Wind,153.0
01/03/2023 00:45:00,EST,Hydro,2780.0
01/03/2023 00:50:00,EST,Dual Fuel,2757.0
01/03/2023 00:50:00,EST,Natural Gas,2310.0
01/03/2023 00:50:00,EST,Nuclear,3346.0
01/03/2023 00:50:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:50:00,EST,Other Renewables,215.0
01/03/2023 00:50:00,EST,Wind,156.0
01/03/2023 00:50:00,EST,Hydro,2794.0
01/03/2023 00:55:00,EST,Dual Fuel,2757.0
01/03/2023 00:55:00,EST,Natural Gas,2310.0
01/03/2023 00:55:00,EST,Nuclear,3346.0
01/03/2023 00:55:00,EST,Other Fossil Fuels,5.0
01/03/2023 00:55:00,EST,Other Renewables,213.0
01/03/2023 00:55:00,EST,Wind,157.0
01/03/2023 00:55:00,EST,Hydro,2721.0
01/03/2023 01:00:00,EST,Dual Fuel,2747.0
01/03/2023 01:00:00,EST,Natural Gas,2300.0
01/03/2023 01:00:00,EST,Nuclear,3346.0
01/03/2023 01:00:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:00:00,EST,Other Renewables,210.0
01/03/2023 01:00:00,EST,Wind,151.0
01/03/2023 01:00:00,EST,Hydro,2682.0
01/03/2023 01:05:00,EST,Dual Fuel,2711.0
01/03/2023 01:05:00,EST,Natural Gas,2282.0
01/03/2023 01:05:00,EST,Nuclear,3344.0
01/03/2023 01:05:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:05:00,EST,Other Renewables,222.0
01/03/2023 01:05:00,EST,Wind,142.0
01/03/2023 01:05:00,EST,Hydro,2702.0
01/03/2023 01:10:00,EST,Dual Fuel,2672.0
01/03/2023 01:10:00,EST,Natural Gas,2287.0
01/03/2023 01:10:00,EST,Nuclear,3346.0
01/03/2023 01:10:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:10:00,EST,Other Renewables,221.0
01/03/2023 01:10:00,EST,Wind,145.0
01/03/2023 01:10:00,EST,Hydro,2719.0
01/03/2023 01:15:00,EST,Dual Fuel,2619.0
01/03/2023 01:15:00,EST,Natural Gas,2284.0
01/03/2023 01:15:00,EST,Nuclear,3345.0
01/03/2023 01:15:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:15:00,EST,Other Renewables,222.0
01/03/2023 01:15:00,EST,Wind,144.0
01/03/2023 01:15:00,EST,Hydro,2667.0
01/03/2023 01:20:00,EST,Dual Fuel,2584.0
01/03/2023 01:20:00,EST,Natural Gas,2281.0
01/03/2023 01:20:00,EST,Nuclear,3346.0
01/03/2023 01:20:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:20:00,EST,Other Renewables,217.0
01/03/2023 01:20:00,EST,Wind,144.0
01/03/2023 01:20:00,EST,Hydro,2664.0
01/03/2023 01:25:00,EST,Dual Fuel,2571.0
01/03/2023 01:25:00,EST,Natural Gas,2282.0
01/03/2023 01:25:00,EST,Nuclear,3346.0
01/03/2023 01:25:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:25:00,EST,Other Renewables,217.0
01/03/2023 01:25:00,EST,Wind,145.0
01/03/2023 01:25:00,EST,Hydro,2677.0
01/03/2023 01:30:00,EST,Dual Fuel,2571.0
01/03/2023 01:30:00,EST,Natural Gas,2285.0
01/03/2023 01:30:00,EST,Nuclear,3346.0
01/03/2023 01:30:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:30:00,EST,Other Renewables,218.0
01/03/2023 01:30:00,EST,Wind,146.0
01/03/2023 01:30:00,EST,Hydro,2649.0
01/03/2023 01:35:00,EST,Dual Fuel,2549.0
01/03/2023 01:35:00,EST,Natural Gas,2285.0
01/03/2023 01:35:00,EST,Nuclear,3346.0
01/03/2023 01:35:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:35:00,EST,Other Renewables,217.0
01/03/2023 01:35:00,EST,Wind,145.0
01/03/2023 01:35:00,EST,Hydro,2612.0
01/03/2023 01:40:00,EST,Dual Fuel,2526.0
01/03/2023 01:40:00,EST,Natural Gas,2282.0
01/03/2023 01:40:00,EST,Nuclear,3345.0
01/03/2023 01:40:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:40:00,EST,Other Renewables,215.0
01/03/2023 01:40:00,EST,Wind,145.0
01/03/2023 01:40:00,EST,Hydro,2627.0
01/03/2023 01:45:00,EST,Dual Fuel,2499.0
01/03/2023 01:45:00,EST,Natural Gas,2286.0
01/03/2023 01:45:00,EST,Nuclear,3345.0
01/03/2023 01:45:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:45:00,EST,Other Renewables,226.0
01/03/2023 01:45:00,EST,Wind,146.0
01/03/2023 01:45:00,EST,Hydro,2651.0
01/03/2023 01:50:00,EST,Dual Fuel,2464.0
01/03/2023 01:50:00,EST,Natural Gas,2291.0
01/03/2023 01:50:00,EST,Nuclear,3346.0
01/03/2023 01:50:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:50:00,EST,Other Renewables,221.0
01/03/2023 01:50:00,EST,Wind,154.0
01/03/2023 01:50:00,EST,Hydro,2619.0
01/03/2023 01:55:00,EST,Dual Fuel,2454.0
01/03/2023 01:55:00,EST,Natural Gas,2290.0
01/03/2023 01:55:00,EST,Nuclear,3346.0
01/03/2023 01:55:00,EST,Other Fossil Fuels,5.0
01/03/2023 01:55:00,EST,Other Renewables,214.0
01/03/2023 01:55:00,EST,Wind,149.0
01/03/2023 01:55:00,EST,Hydro,2636.0
01/03/2023 02:00:00,EST,Dual Fuel,2431.0
01/03/2023 02:00:00,EST,Natural Gas,2280.0
01/03/2023 02:00:00,EST,Nuclear,3345.0
01/03/2023 02:00:00,EST,Other Fossil Fuels,5.0
01/03/2023 02:00:00,EST,Other Renewables,214.0
01/03/2023 02:00:00,EST,Wind,140.0
01/03/2023 02:00:00,EST,Hydro,2617.0
01/03/2023 02:05:00,EST,Dual Fuel,2414.0
01/03/2023 02:05:00,EST,Natural Gas,2264.0
01/03/2023 02:05:00,EST,Nuclear,3345.0
01/03/2023 02:05:00,EST,Other Fossil Fuels,5.0
01/03/2023 02:05:00,EST,Other Renewables,213.0
01/03/2023 02:05:00,EST,Wind,124.0
01/03/2023 02:05:00,EST,Hydro,2607.0
01/03/2023 02:10:00,EST,Dual Fuel,2401.0
01/03/2023 02:10:00,EST,Natural Gas,2265.0
01/03/2023 02:10:00,EST,Nuclear,3346.0
01/03/2023 02:10:00,EST,Other Fossil Fuels,5.0
01/03/2023 02:10:00,EST,Other Renewables,214.0
01/03/2023 02:10:00,EST,Wind,123.0
01/03/2023 02:10:00,EST,Hydro,2643.0
01/03/2023 02:15:00,EST,Dual Fuel,2391.0
01/03/2023 02:15:00,EST,Natural Gas,2270.0
01/03/2023 02:15:00,EST,Nuclear,3345.0
01/03/2023 02:15:00,EST,Other Fossil Fuels,5.0
01/03/2023 02:15:00,EST,Other Renewables,217.0
01/03/2023 02:15:00,EST,Wind,128.0
01/03/2023 02:15:00,EST,Hydro,2637.0
01/03/2023 02:20:00,EST,Dual Fuel,2405.0
01/03/2023 02:20:00,EST,Natural Gas,2279.0
01/03/2023 02:20:00,EST,Nuclear,3346.0
01/03/2023 02:20:00,EST,Other Fossil Fuels,5.0
01/03/2023 02:20:00,EST,Other Renewables,217.0
01/03/2023 02:20:00,EST,Wind,116.0
01/03/2023 02:20:00,EST,Hydro,2600.0
01/03/2023 02:25:00,EST,Dual Fuel,2405.0
01/03/2023 02:25:00,EST,Natural Gas,2273.0
01/03/2023 02:25:00,EST,Nuclear,3347.0
01/03/2023 02:25:00,EST,Other Fossil Fuels,5.0
01/03/2023 02:25:00,EST,Other Renewables,215.0
01/03/2023 02:25:00,EST,Wind,128.0
01/03/2023 02:25:00,EST,Hydro,2639.0
01/03/2023 02:30:00,EST,Dual Fuel,2386.0
01/03/2023 02:30:00,EST,Natural Gas,2262.0
01/03/2023 02:30:00,EST,Nuclear,3345.0
01/03/2023 02:30:00,EST,Other Fossil Fuels,5.0
01/03/2023 02:30:00,EST,Other Renewables,214.0
01/03/2023 02:30:00,EST,Wind,142.0
01/03/2023 02:30:00,EST,Hydro,2619.0
01/03/2023 02:35:00,EST,Dual Fuel,2375.0
01/03/2023 02:35:00,EST,Natural Gas,2265.0
01/03/2023 02:35:00,EST,Nuclear,3345.0
01/03/2023 02:35:00,EST,Other Fossil Fuels,5.0
01/03/2023 02:35:00,EST,Other Renewables,213.0
01/03/2023 02:35:00,EST,Wind,152.0
01/03/2023 02:35:00,EST,Hydro,2637.0
01/03/2023 02:40:00,EST,Dual Fuel,2361.0
01/03/2023 02:40:00,EST,Natural Gas,2250.0
01/03/2023 02:40:00,EST,Nuclear,3346.0
01/03/2023 02:40:00,EST,Other Fossil Fuels,5.0
01/03/2023 02:40:00,EST,Other Renewables,212.0
01/03/2023 02:40:00,EST,Wind,166.0
01/03/2023 02:40:00,EST,Hydro,2638.0
01/03/2023 02:45:00,EST,Dual Fuel,2352.0
01/03/2023 02:45:00,EST,Natural Gas,2249.0
01/03/2023 02:45:00,EST,Nuclear,3345.0
