Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
04/26/2023 00:00,CENTRAL EAST - VC,23330,1027.02,1900,-9999
04/26/2023 00:00,DYSINGER EAST,23326,573.81,3050,-9999
04/26/2023 00:00,MOSES SOUTH,23319,237.58,3000,-1600
04/26/2023 00:00,SCH - HQ - NY,23324,442,1500,-1000
04/26/2023 00:00,SCH - HQ_CEDARS,325274,-39,279,-100
04/26/2023 00:00,SCH - HQ_IMPORT_EXPORT,325376,220,1310,-9999
04/26/2023 00:00,SCH - NE - NY,23318,4.94,700,-800
04/26/2023 00:00,SCH - NPX_1385,325277,66,100,-100
04/26/2023 00:00,SCH - NPX_CSC,325154,330,330,-330
04/26/2023 00:00,SCH - OH - NY,23317,472.34,1500,-1700
04/26/2023 00:00,SCH - PJ - NY,23316,295.23,2350,-2050
04/26/2023 00:00,SCH - PJM_HTP,325905,50,660,-660
04/26/2023 00:00,SCH - PJM_NEPTUNE,325305,659.98,660,-660
04/26/2023 00:00,SCH - PJM_VFT,325658,314.99,315,-315
04/26/2023 00:00,SPR/DUN-SOUTH,23320,1294.34,4600,-9999
04/26/2023 00:00,TOTAL EAST,23314,1925.8,6000,-9999
04/26/2023 00:00,UPNY CONED,23315,1954.9,4840,-9999
04/26/2023 00:00,WEST CENTRAL,23312,-316.5,9999,-9999
04/26/2023 00:05,CENTRAL EAST - VC,23330,950.43,1900,-9999
04/26/2023 00:05,DYSINGER EAST,23326,661.02,3050,-9999
04/26/2023 00:05,MOSES SOUTH,23319,-65.43,3000,-1600
04/26/2023 00:05,SCH - HQ - NY,23324,163,1500,-1000
04/26/2023 00:05,SCH - HQ_CEDARS,325274,-79,279,-100
04/26/2023 00:05,SCH - HQ_IMPORT_EXPORT,325376,19,1310,-9999
04/26/2023 00:05,SCH - NE - NY,23318,-77.65,700,-800
04/26/2023 00:05,SCH - NPX_1385,325277,83,100,-100
04/26/2023 00:05,SCH - NPX_CSC,325154,330,330,-330
04/26/2023 00:05,SCH - OH - NY,23317,598.27,1500,-1700
04/26/2023 00:05,SCH - PJ - NY,23316,469.24,2350,-2050
04/26/2023 00:05,SCH - PJM_HTP,325905,100,660,-660
04/26/2023 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
04/26/2023 00:05,SCH - PJM_VFT,325658,315,315,-315
04/26/2023 00:05,SPR/DUN-SOUTH,23320,1244.63,4600,-9999
04/26/2023 00:05,TOTAL EAST,23314,1939.83,6000,-9999
04/26/2023 00:05,UPNY CONED,23315,1832.15,4840,-9999
04/26/2023 00:05,WEST CENTRAL,23312,-220.76,9999,-9999
04/26/2023 00:10,CENTRAL EAST - VC,23330,993.46,1900,-9999
04/26/2023 00:10,DYSINGER EAST,23326,563.24,3050,-9999
04/26/2023 00:10,MOSES SOUTH,23319,-33.94,3000,-1600
04/26/2023 00:10,SCH - HQ - NY,23324,164,1500,-1000
04/26/2023 00:10,SCH - HQ_CEDARS,325274,-79,279,-100
04/26/2023 00:10,SCH - HQ_IMPORT_EXPORT,325376,20,1310,-9999
04/26/2023 00:10,SCH - NE - NY,23318,-73.92,700,-800
04/26/2023 00:10,SCH - NPX_1385,325277,83,100,-100
04/26/2023 00:10,SCH - NPX_CSC,325154,330,330,-330
04/26/2023 00:10,SCH - OH - NY,23317,600.84,1500,-1700
04/26/2023 00:10,SCH - PJ - NY,23316,464.63,2350,-2050
04/26/2023 00:10,SCH - PJM_HTP,325905,100,660,-660
04/26/2023 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
04/26/2023 00:10,SCH - PJM_VFT,325658,315,315,-315
04/26/2023 00:10,SPR/DUN-SOUTH,23320,1265.61,4600,-9999
04/26/2023 00:10,TOTAL EAST,23314,1934.88,6000,-9999
04/26/2023 00:10,UPNY CONED,23315,1847.12,4840,-9999
04/26/2023 00:10,WEST CENTRAL,23312,-314.59,9999,-9999
04/26/2023 00:15,CENTRAL EAST - VC,23330,902.49,1900,-9999
04/26/2023 00:15,DYSINGER EAST,23326,504.31,3050,-9999
04/26/2023 00:15,MOSES SOUTH,23319,4.61,3000,-1600
04/26/2023 00:15,SCH - HQ - NY,23324,164,1500,-1000
04/26/2023 00:15,SCH - HQ_CEDARS,325274,-79,279,-100
04/26/2023 00:15,SCH - HQ_IMPORT_EXPORT,325376,20,1310,-9999
04/26/2023 00:15,SCH - NE - NY,23318,-78.22,700,-800
04/26/2023 00:15,SCH - NPX_1385,325277,83,100,-100
04/26/2023 00:15,SCH - NPX_CSC,325154,330,330,-330
04/26/2023 00:15,SCH - OH - NY,23317,600.81,1500,-1700
04/26/2023 00:15,SCH - PJ - NY,23316,469.15,2350,-2050
04/26/2023 00:15,SCH - PJM_HTP,325905,100,660,-660
04/26/2023 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
04/26/2023 00:15,SCH - PJM_VFT,325658,315,315,-315
04/26/2023 00:15,SPR/DUN-SOUTH,23320,1204.54,4600,-9999
04/26/2023 00:15,TOTAL EAST,23314,1933.08,6000,-9999
04/26/2023 00:15,UPNY CONED,23315,1787.45,4840,-9999
04/26/2023 00:15,WEST CENTRAL,23312,-374.48,9999,-9999
04/26/2023 00:20,CENTRAL EAST - VC,23330,910.18,1900,-9999
04/26/2023 00:20,DYSINGER EAST,23326,511.72,3050,-9999
04/26/2023 00:20,MOSES SOUTH,23319,-7.73,3000,-1600
04/26/2023 00:20,SCH - HQ - NY,23324,164,1500,-1000
04/26/2023 00:20,SCH - HQ_CEDARS,325274,-79,279,-100
04/26/2023 00:20,SCH - HQ_IMPORT_EXPORT,325376,20,1310,-9999
04/26/2023 00:20,SCH - NE - NY,23318,-78.41,700,-800
04/26/2023 00:20,SCH - NPX_1385,325277,83,100,-100
04/26/2023 00:20,SCH - NPX_CSC,325154,330,330,-330
04/26/2023 00:20,SCH - OH - NY,23317,600.78,1500,-1700
04/26/2023 00:20,SCH - PJ - NY,23316,468.17,2350,-2050
04/26/2023 00:20,SCH - PJM_HTP,325905,100,660,-660
04/26/2023 00:20,SCH - PJM_NEPTUNE,325305,660,660,-660
04/26/2023 00:20,SCH - PJM_VFT,325658,315,315,-315
04/26/2023 00:20,SPR/DUN-SOUTH,23320,1208.1,4600,-9999
04/26/2023 00:20,TOTAL EAST,23314,1926.33,6000,-9999
04/26/2023 00:20,UPNY CONED,23315,1797.27,4840,-9999
04/26/2023 00:20,WEST CENTRAL,23312,-366.9,9999,-9999
04/26/2023 00:25,CENTRAL EAST - VC,23330,924.36,1900,-9999
04/26/2023 00:25,DYSINGER EAST,23326,497.21,3050,-9999
04/26/2023 00:25,MOSES SOUTH,23319,-8.41,3000,-1600
04/26/2023 00:25,SCH - HQ - NY,23324,164,1500,-1000
04/26/2023 00:25,SCH - HQ_CEDARS,325274,-79,279,-100
04/26/2023 00:25,SCH - HQ_IMPORT_EXPORT,325376,20,1310,-9999
04/26/2023 00:25,SCH - NE - NY,23318,-78.57,700,-800
04/26/2023 00:25,SCH - NPX_1385,325277,83,100,-100
04/26/2023 00:25,SCH - NPX_CSC,325154,330,330,-330
04/26/2023 00:25,SCH - OH - NY,23317,600.74,1500,-1700
04/26/2023 00:25,SCH - PJ - NY,23316,469.57,2350,-2050
04/26/2023 00:25,SCH - PJM_HTP,325905,100,660,-660
04/26/2023 00:25,SCH - PJM_NEPTUNE,325305,660,660,-660
04/26/2023 00:25,SCH - PJM_VFT,325658,315,315,-315
04/26/2023 00:25,SPR/DUN-SOUTH,23320,1223.31,4600,-9999
04/26/2023 00:25,TOTAL EAST,23314,1924.5,6000,-9999
04/26/2023 00:25,UPNY CONED,23315,1808.83,4840,-9999
04/26/2023 00:25,WEST CENTRAL,23312,-380.21,9999,-9999
04/26/2023 00:30,CENTRAL EAST - VC,23330,874.83,1900,-9999
04/26/2023 00:30,DYSINGER EAST,23326,487.06,3050,-9999
04/26/2023 00:30,MOSES SOUTH,23319,-12.18,3000,-1600
04/26/2023 00:30,SCH - HQ - NY,23324,164,1500,-1000
04/26/2023 00:30,SCH - HQ_CEDARS,325274,-79,279,-100
04/26/2023 00:30,SCH - HQ_IMPORT_EXPORT,325376,20,1310,-9999
04/26/2023 00:30,SCH - NE - NY,23318,-77.93,700,-800
04/26/2023 00:30,SCH - NPX_1385,325277,83,100,-100
04/26/2023 00:30,SCH - NPX_CSC,325154,330,330,-330
04/26/2023 00:30,SCH - OH - NY,23317,600.76,1500,-1700
04/26/2023 00:30,SCH - PJ - NY,23316,468.29,2350,-2050
04/26/2023 00:30,SCH - PJM_HTP,325905,100,660,-660
04/26/2023 00:30,SCH - PJM_NEPTUNE,325305,660,660,-660
04/26/2023 00:30,SCH - PJM_VFT,325658,315,315,-315
04/26/2023 00:30,SPR/DUN-SOUTH,23320,1197.91,4600,-9999
04/26/2023 00:30,TOTAL EAST,23314,1933.56,6000,-9999
04/26/2023 00:30,UPNY CONED,23315,1773.34,4840,-9999
04/26/2023 00:30,WEST CENTRAL,23312,-387.89,9999,-9999
04/26/2023 00:35,CENTRAL EAST - VC,23330,874.46,1900,-9999
04/26/2023 00:35,DYSINGER EAST,23326,502.46,3050,-9999
