Year,Month,Day,Hr1,Hr2,Hr3,Hr4,Hr5,Hr6,Hr7,Hr8,Hr9,Hr10,Hr11,Hr12,Hr13,Hr14,Hr15,Hr16,Hr17,Hr18,Hr19,Hr20,Hr21,Hr22,Hr23,Hr24,Hr25
2007,1,1,15727,14925,14204,13710,13512,13614,13907,14189,14615,15476,16390,17024,17402,17493,17545,17730,18644,19773,19650,19347,18826,17920,16551,15138,
2007,1,2,14137,13585,13305,13248,13489,14567,16775,18344,18873,19341,19659,19732,19664,19605,19459,19512,20453,22342,22264,21800,21080,19969,18273,16577,
2007,1,3,15388,14735,14410,14288,14469,15490,17692,19148,19631,19910,19967,19906,19730,19520,19357,19376,20213,22019,21966,21520,20887,19743,18107,16411,
2007,1,4,15156,14487,14120,13988,14185,15201,17363,18890,19389,19721,19800,19704,19468,19348,19210,19282,20195,21767,21724,21211,20483,19352,17724,15990,
2007,1,5,14719,14061,13680,13534,13673,14626,16630,18422,18994,19465,19758,19829,19736,19740,19648,19798,20600,21416,21062,20424,19704,18784,17483,16071,
2007,1,6,14763,13941,13454,13197,13162,13455,14099,14928,15975,17005,17627,17850,17841,17579,17282,17242,17862,19386,19364,18846,18275,17535,16614,15507,
2007,1,7,14461,13706,13268,13018,12969,13172,13682,14167,14939,15744,16309,16605,16693,16714,16691,16821,17898,19565,19546,19173,18688,17813,16647,15348,
2007,1,8,14381,13815,13512,13364,13537,14561,16773,18682,19324,19810,20178,20293,20261,20161,19871,19707,20438,22036,21923,21469,20754,19643,18067,16462,
2007,1,9,15282,14642,14321,14200,14395,15460,17680,19242,19710,20029,20215,20191,20076,20045,19908,19961,20865,22380,22216,21667,20980,19800,18218,16698,
2007,1,10,15555,14992,14652,14560,14790,15795,18000,19628,20051,20450,20729,20742,20679,20634,20511,20586,21317,22977,22906,22452,21750,20594,18984,17401,
2007,1,11,16248,15689,15359,15268,15467,16470,18666,20191,20567,20854,20979,20873,20605,20451,20231,20264,21065,22679,22593,22117,21329,20153,18579,16910,
