\\Yearly Intertie Schedule and Flow Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2019-01-31 08:02:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MANITOBA,MANITOBA,MANITOBA,MANITOBA SK,MANITOBA SK,MANITOBA SK,MICHIGAN,MICHIGAN,MICHIGAN,MINNESOTA,MINNESOTA,MINNESOTA,NEW-YORK,NEW-YORK,NEW-YORK,PQ.AT,PQ.AT,PQ.AT,PQ.B5D.B31L,PQ.B5D.B31L,PQ.B5D.B31L,PQ.D4Z,PQ.D4Z,PQ.D4Z,PQ.D5A,PQ.D5A,PQ.D5A,PQ.H4Z,PQ.H4Z,PQ.H4Z,PQ.H9A,PQ.H9A,PQ.H9A,PQ.P33C,PQ.P33C,PQ.P33C,PQ.Q4C,PQ.Q4C,PQ.Q4C,PQ.X2Y,PQ.X2Y,PQ.X2Y,Total,Total,Total
Date,Hour,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow
2018-01-01,1,28,42,16,0,0,8,0,900,377,0,94,90,0,1150,1688,298,194,-79,0,0,4,0,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,69,50,0,-46,376,2394,2144
2018-01-01,2,28,0,-20,0,0,8,0,900,379,0,15,15,0,1150,1680,164,323,159,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,68,50,0,-45,242,2402,2255
2018-01-01,3,28,0,-26,0,0,8,0,900,392,0,39,36,0,1098,1690,14,548,467,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,46,50,0,-45,92,2599,2580
2018-01-01,4,28,0,-36,0,0,8,0,900,405,0,39,36,0,1109,1715,509,946,452,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,46,50,0,-45,587,3008,2594
2018-01-01,5,28,42,6,0,0,8,0,426,352,0,40,36,0,1150,1317,187,958,774,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,46,50,0,-44,265,2630,2505
2018-01-01,6,28,0,-6,0,0,7,0,504,598,0,0,5,0,1150,1073,263,1293,1035,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,46,50,0,-43,341,2961,2730
2018-01-01,7,0,76,66,0,0,7,50,950,941,0,0,-1,0,1150,1170,14,1244,1225,0,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,68,50,0,-43,114,3434,3451
2018-01-01,8,0,93,78,0,0,7,50,950,1033,0,79,75,0,1370,1169,14,1139,1131,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,88,50,0,-41,114,3645,3555
2018-01-01,9,0,42,46,0,0,7,50,950,793,0,39,44,0,1079,1090,164,1328,1165,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,88,50,0,-41,264,3452,3207
