"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"VaR_p10_lvl_IESO",-7392.66281073846,-2691.17545693547,-1515.70442639102,-1447.36010364182,-223.735044659433,2809.60509942304
"VaR_p10_lvl_HydroQC",-5097.0209504683,1773.93156978999,2922.62403061755,2699.24381183654,3901.73672525437,5662.40500692165
"VaR_p10_lvl_NYISO",-16068.5694073516,-11871.440926021,-10470.9015438393,-10423.8769395117,-9095.68594883257,-3834.62023827835
"VaR_p10_lvl_ISONE",-14130.4870970646,-10476.9335666403,-9246.82415792203,-9257.07230765736,-8015.8981671019,-4893.64377380412
"VaR_p10_lvl_total",-35304.3096395161,-21040.0319705261,-17421.1943272822,-17563.1373336413,-13678.6653078204,-5917.60542139016
"VaR_p5_lvl_IESO",-7477.70189971534,-2809.3232132652,-1619.62794216505,-1553.97748248125,-325.808088988671,2731.13024182822
"VaR_p5_lvl_HydroQC",-5534.64757686458,1611.85130705538,2757.09285701645,2539.79997377857,3751.88866992841,5530.27347335079
"VaR_p5_lvl_NYISO",-16155.4242150027,-11966.4556293721,-10565.2876698764,-10512.6653115049,-9181.37438870228,-3953.85548141534
"VaR_p5_lvl_ISONE",-14263.324839208,-10571.3449158561,-9329.73358832996,-9344.56732109823,-8094.294544138,-4952.31250934725
"VaR_p5_lvl_total",-35611.6004925251,-21280.7816963931,-17638.1236458234,-17776.886635362,-13883.0816568324,-6127.0801112922
"ES_p10_lvl_IESO",-7518.64790725735,-2834.65480174439,-1663.32643844989,-1592.12976141327,-365.797134599333,2690.97010271498
"ES_p10_lvl_HydroQC",-5630.38590253249,1544.70641430138,2708.47521453121,2485.13606870733,3708.47696903745,5478.44222769128
"ES_p10_lvl_NYISO",-16191.7387297969,-11996.7603394076,-10591.2963148216,-10543.5059075073,-9212.11544171652,-3998.02996747071
"ES_p10_lvl_ISONE",-14314.5517055957,-10601.467523329,-9357.88632919657,-9374.61673862248,-8127.12984014373,-4994.80633559384
"ES_p10_lvl_total",-35696.1400431732,-21364.8274484786,-17719.8623109111,-17861.9413597673,-13964.8154625784,-6156.06433458706
"ES_p5_lvl_IESO",-7596.32153940138,-2925.45920099959,-1750.74600630718,-1683.40264188674,-462.259465542425,2621.9787801553
"ES_p5_lvl_HydroQC",-5951.55769808724,1385.48020015797,2568.72958274331,2350.56900204761,3591.90706950823,5399.67327566888
"ES_p5_lvl_NYISO",-16274.9187865706,-12071.6965489093,-10670.8979125262,-10618.6034755319,-9286.55468857547,-4077.7745890246
"ES_p5_lvl_ISONE",-14438.0025737801,-10670.3374078661,-9433.98485724692,-9448.41614649859,-8197.36212945239,-5064.36819659302
"ES_p5_lvl_total",-35931.644562863,-21586.8443889702,-17932.3841443702,-18054.5361071229,-14149.6180080573,-6278.66219894734
