"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"VaR_p10_lvl_IESO",-8779.31799802142,-3356.83388469272,-1806.81899001124,-1920.6030522587,-342.470858261235,2972.53861480068
"VaR_p10_lvl_HydroQC",-5097.0209504683,2033.1611009166,3301.45900060851,2991.11567131135,4229.90999417684,5662.40500692165
"VaR_p10_lvl_NYISO",-25103.0157754544,-13865.0732545734,-11562.5055071956,-12196.5110987833,-9695.68454636204,-3834.62023827835
"VaR_p10_lvl_ISONE",-20099.5569576607,-11898.5912801895,-10000.2876936947,-10481.4981360802,-8465.31529129885,-4615.38817628055
"VaR_p10_lvl_total",-44817.7358312455,-25105.7660208289,-19637.839024422,-20767.5162392718,-15051.2138107499,-5917.60542139016
"VaR_p5_lvl_IESO",-8951.99913425398,-3456.9895600365,-1919.69771409775,-2028.2918791318,-438.306440858601,2893.53894592558
"VaR_p5_lvl_HydroQC",-5534.64757686458,1871.61433037333,3163.79596710662,2849.00528436305,4102.93645614419,5530.27347335079
"VaR_p5_lvl_NYISO",-25176.2399859273,-13952.5895452047,-11655.9437486984,-12288.4951431,-9791.73548747825,-3953.85548141534
"VaR_p5_lvl_ISONE",-20167.7294923908,-11992.1319654404,-10091.6801476294,-10571.1713149211,-8558.58852183417,-4743.27949408359
"VaR_p5_lvl_total",-44975.8904613435,-25323.7464991239,-19833.467506954,-20979.0675967408,-15274.0090856307,-6127.0801112922
"ES_p10_lvl_IESO",-8971.43957307214,-3496.1716504713,-1952.34133266477,-2066.21024410937,-475.152264570235,2858.14761213939
"ES_p10_lvl_HydroQC",-5630.38590253249,1814.31220771273,3113.87985715788,2799.43681414351,4056.86634114592,5478.44222769128
"ES_p10_lvl_NYISO",-25228.429375817,-13986.5054865646,-11681.3277064283,-12320.6181277316,-9822.68973941158,-3998.02996747071
"ES_p10_lvl_ISONE",-20195.8188260897,-12022.3413506102,-10121.2096825531,-10602.0066784299,-8588.73535781603,-4772.38243987075
"ES_p10_lvl_total",-45116.9170313988,-25415.8331803031,-19912.1800049969,-21062.1662639023,-15346.2440981181,-6156.06433458706
"ES_p5_lvl_IESO",-9082.59463250782,-3594.66758343814,-2044.90878394233,-2157.7851753282,-567.399603333216,2779.11975872449
"ES_p5_lvl_HydroQC",-5951.55769808724,1674.60117981543,3000.24619630651,2678.88725787404,3950.51335449686,5399.67327566888
"ES_p5_lvl_NYISO",-25325.6549721096,-14070.8643101611,-11753.0780880132,-12398.5046353649,-9895.96070516497,-4077.7745890246
"ES_p5_lvl_ISONE",-20262.283533948,-12094.8555860458,-10196.9946792038,-10677.4930106373,-8660.99141869498,-4855.0680652773
"ES_p5_lvl_total",-45322.1508693044,-25610.9963485904,-20100.8439488929,-21251.7187911212,-15526.1214632722,-6278.66219894734
