"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"VaR_p10_lvl_IESO",-8779.31799802142,-4503.84718940899,-2558.1058563562,-2568.88603361428,-606.82006381065,2972.53861480068
"VaR_p10_lvl_HydroQC",-1613.45597534226,2583.44697087203,3840.56889883034,3390.94320130867,4615.58821625444,5592.26479725654
"VaR_p10_lvl_NYISO",-25103.0157754544,-17551.5433606583,-14548.1395673876,-14624.7956849222,-11663.9657369526,-6354.81539050504
"VaR_p10_lvl_ISONE",-20099.5569576607,-14572.7853531787,-11965.563089657,-12158.8066492206,-9640.4404230306,-4615.38817628055
"VaR_p10_lvl_total",-44817.7358312455,-31448.6209335686,-24784.4695682824,-25157.1100333398,-18852.0186105081,-7251.50029698115
"VaR_p5_lvl_IESO",-8951.99913425398,-4606.35195642875,-2662.12230209754,-2678.04260877115,-709.851576830925,2893.53894592558
"VaR_p5_lvl_HydroQC",-1731.66721929208,2468.429933646,3731.75764709894,3272.5774499548,4494.95968289272,5480.44420655524
"VaR_p5_lvl_NYISO",-25176.2399859273,-17645.020188729,-14641.2134642265,-14721.1573961169,-11758.8805228962,-6463.66911123909
"VaR_p5_lvl_ISONE",-20167.7294923908,-14678.8398137553,-12055.7246214032,-12251.4636391538,-9736.1853432881,-4743.27949408359
"VaR_p5_lvl_total",-44975.8904613435,-31660.193204989,-25028.7674812189,-25365.6504851915,-19054.0526005058,-7441.19689828235
"ES_p10_lvl_IESO",-8971.43957307214,-4649.64914144437,-2694.79960733542,-2715.64054121779,-737.619369789082,2858.14761213939
"ES_p10_lvl_HydroQC",-1803.49331801365,2425.96232024616,3686.02783973616,3229.98908098479,4451.61698392146,5429.90297872726
"ES_p10_lvl_NYISO",-25228.429375817,-17680.5922420863,-14678.5752992243,-14755.0370909673,-11789.9446318278,-6499.26020398056
"ES_p10_lvl_ISONE",-20195.8188260897,-14707.5130260793,-12078.0809326978,-12283.3756492507,-9771.2474430431,-4772.38243987075
"ES_p10_lvl_total",-45116.9170313988,-31766.6427956673,-25117.9750759309,-25446.0696013412,-19124.8416627981,-7548.9348254911
"ES_p5_lvl_IESO",-9082.59463250782,-4746.06100884425,-2777.41107907458,-2807.6292437528,-822.659488938507,2779.11975872449
"ES_p5_lvl_HydroQC",-1933.30899506446,2330.20792721774,3584.14030775251,3128.64174094176,4350.94963129289,5366.31716752205
"ES_p5_lvl_NYISO",-25325.6549721096,-17762.3194675015,-14768.8955808019,-14836.7440931048,-11863.3126267461,-6567.86599397337
"ES_p5_lvl_ISONE",-20262.283533948,-14784.4591388645,-12145.2123580848,-12361.1728544211,-9843.58354117174,-4855.0680652773
"ES_p5_lvl_total",-45322.1508693044,-31952.4035770519,-25269.3762729505,-25631.4546717691,-19304.6026803432,-7731.83597893635
