"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"VaR_p10_prct_IESO",-0.496751969542969,-0.175771034060875,-0.0932754067714991,-0.0940263962064865,-0.0137068674242207,0.171788458682416
"VaR_p10_prct_HydroQC",-0.138272443895537,0.054011243131124,0.0878543877660743,0.0808181261099084,0.115147196585855,0.189834309443177
"VaR_p10_prct_NYISO",-2.18675563683284,-1.54453089739771,-1.32057880654542,-1.3144643322168,-1.06633880315151,-0.36985568583256
"VaR_p10_prct_ISONE",-3.30943607581987,-1.89861551537339,-1.63307797077986,-1.67956933191942,-1.40557263682246,-0.808235334055052
"VaR_p10_prct_total",-0.0183195919199501,-0.012567628244894,-0.0113125423879746,-0.0114678919336947,-0.0101812396343035,-0.00709034161552135
"VaR_p5_prct_IESO",-0.50246619404081,-0.182856296343657,-0.0997184255110208,-0.100689956193067,-0.0201583764324762,0.16635824299303
"VaR_p5_prct_HydroQC",-0.15014441847316,0.048729304970487,0.0829172074768826,0.0760987729782647,0.111151133561503,0.183166512360515
"VaR_p5_prct_NYISO",-2.2088516594141,-1.55555136493585,-1.33159953914515,-1.32560316540639,-1.07618826837045,-0.379764805834224
"VaR_p5_prct_ISONE",-3.33186401354608,-1.9148746707667,-1.64870206278827,-1.6954021335051,-1.41888812403835,-0.822480827128174
"VaR_p5_prct_total",-0.0239593287789319,-0.0162803339388815,-0.0146232580018097,-0.0148348688440195,-0.0131673493188056,-0.00916588994603218
"ES_p10_prct_IESO",-0.505217572050621,-0.185549148051372,-0.102262321857648,-0.103073264359646,-0.022665776208652,0.164727393496206
"ES_p10_prct_HydroQC",-0.152741616403718,0.0472930146859572,0.0814211105479509,0.0744819651033232,0.109755591250482,0.182002939795238
"ES_p10_prct_NYISO",-2.21229944124431,-1.56120479945056,-1.33615054892788,-1.32947185446558,-1.0799977277798,-0.385001569976024
"ES_p10_prct_ISONE",-3.34001045988915,-1.92141469168851,-1.65394902827928,-1.70083801863351,-1.42509775787459,-0.826896766879283
"ES_p10_prct_total",-0.0249172491685273,-0.0176815053093849,-0.0159182223611849,-0.0161734365894284,-0.014470208644151,-0.0104174381746503
"ES_p5_prct_IESO",-0.510436872691935,-0.190796647121939,-0.107574717041365,-0.108776700627359,-0.0278522649660679,0.160540924008581
"ES_p5_prct_HydroQC",-0.161454393830618,0.0428476215281163,0.0773177452031003,0.0704990126723202,0.106011158661667,0.178616903794093
"ES_p5_prct_NYISO",-2.2257630703032,-1.57171154559772,-1.34490790950774,-1.33889099714508,-1.08971050639109,-0.392382205866749
"ES_p5_prct_ISONE",-3.35824851058066,-1.93538548927272,-1.6667170716213,-1.71419481760115,-1.43764314952967,-0.83675129502577
"ES_p5_prct_total",-0.0302053278213014,-0.0210947757936328,-0.0188888486736447,-0.019206540779022,-0.0170928012932173,-0.0120153472226282
