"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"VaR_p10_prct_IESO",-0.613099649224092,-0.216158343048593,-0.115054376992152,-0.124926750569322,-0.021187390673025,0.18844545548375
"VaR_p10_prct_HydroQC",-0.138272443895537,0.0657378673946654,0.11208017911889,0.109899958828954,0.160519836176594,0.245017933780928
"VaR_p10_prct_NYISO",-3.86713676116577,-1.88934437042388,-1.514238483235,-1.5866555639406,-1.19714604066457,-0.36985568583256
"VaR_p10_prct_ISONE",-4.81848843050096,-2.54001579275259,-1.91424855960955,-2.05385929365096,-1.54409611455424,-0.808235334055052
"VaR_p10_prct_total",-0.036484439084421,-0.0140016715133605,-0.0123593847411201,-0.0126435057910586,-0.0109134326464115,-0.00709034161552135
"VaR_p5_prct_IESO",-0.620248888526079,-0.223038882944695,-0.121489605723691,-0.131779252300702,-0.0270395753283865,0.183437235065651
"VaR_p5_prct_HydroQC",-0.15014441847316,0.0609389785280847,0.107482044870896,0.104829284052772,0.15538068783449,0.241633877977594
"VaR_p5_prct_NYISO",-3.89602468857243,-1.90203898649274,-1.52696232821866,-1.59858783922249,-1.20932671828647,-0.379764805834224
"VaR_p5_prct_ISONE",-4.8456076029219,-2.55803997520336,-1.93239444637589,-2.07149446395253,-1.55983630297138,-0.822480827128174
"VaR_p5_prct_total",-0.0489846898906951,-0.0181220282955729,-0.0159889764044103,-0.0163803107755226,-0.0141032172085355,-0.00916588994603218
"ES_p10_prct_IESO",-0.62192262597926,-0.225681163906981,-0.124177123773326,-0.134190038397639,-0.0297486636096371,0.181193585148941
"ES_p10_prct_HydroQC",-0.152741616403718,0.0590160872791885,0.105966224822704,0.103053274704486,0.15341829217509,0.240309343179681
"ES_p10_prct_NYISO",-3.90374063293941,-1.9054194077543,-1.53111831142837,-1.6027610612934,-1.21317760767575,-0.385001569976024
"ES_p10_prct_ISONE",-4.87916755889634,-2.56207642032779,-1.9376725157752,-2.07757460022515,-1.56471627349229,-0.826896766879283
"ES_p10_prct_total",-0.0509420581242475,-0.0197077420501325,-0.017469117543718,-0.0178439340683696,-0.0154214660929563,-0.0104174381746503
"ES_p5_prct_IESO",-0.627252153775027,-0.231702077632103,-0.130140377922052,-0.140015628511956,-0.0355994624865515,0.176183577958951
"ES_p5_prct_HydroQC",-0.161454393830618,0.0547091529187121,0.102169453897588,0.0987455384539091,0.148909383178612,0.237421191652013
"ES_p5_prct_NYISO",-3.92330478642158,-1.91592410079646,-1.54157307078671,-1.61286973167964,-1.22181959701346,-0.392382205866749
"ES_p5_prct_ISONE",-4.92846624633209,-2.57847089191007,-1.95314142072951,-2.09243324242234,-1.57845308899039,-0.83675129502577
"ES_p5_prct_total",-0.0595135998171137,-0.0234931456005775,-0.0207723924636593,-0.0211887599249363,-0.0182322811816281,-0.0120153472226282
