"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"VaR_p10_prct_IESO",-0.613099649224092,-0.294155351164903,-0.165919323382631,-0.167256327607564,-0.0389502023149741,0.18844545548375
"VaR_p10_prct_HydroQC",-0.114273166380339,0.132009295030294,0.170804482951799,0.149738391231357,0.194680754587035,0.245017933780928
"VaR_p10_prct_NYISO",-3.86713676116577,-2.28498708392874,-1.95185248650743,-1.95952312322802,-1.5913207693291,-0.929925029386244
"VaR_p10_prct_ISONE",-4.81848843050096,-2.94846218373418,-2.60754135817568,-2.56658919906626,-2.17325925474254,-1.08772735118671
"VaR_p10_prct_total",-0.036484439084421,-0.0153212710360759,-0.0138770231149034,-0.0142539480778423,-0.0125677386373152,-0.00839962383395607
"VaR_p5_prct_IESO",-0.620248888526079,-0.300544678232882,-0.173283470250096,-0.174367655630977,-0.0440248968146706,0.183437235065651
"VaR_p5_prct_HydroQC",-0.122645488497799,0.125743424592432,0.165983746573012,0.14418645023916,0.18978989998143,0.241633877977594
"VaR_p5_prct_NYISO",-3.89602468857243,-2.2990807041149,-1.96387366462296,-1.97254231381763,-1.60363953381164,-0.940326276032792
"VaR_p5_prct_ISONE",-4.8456076029219,-2.96985041206843,-2.6257326945554,-2.58669338653554,-2.19061241329301,-1.1046570897099
"VaR_p5_prct_total",-0.0489846898906951,-0.0198946816554308,-0.0180172720748551,-0.018497370746083,-0.0163458861976739,-0.0114583079643422
"ES_p10_prct_IESO",-0.62192262597926,-0.303057907395514,-0.174624839233908,-0.176816083016951,-0.0458871139065134,0.181193585148941
"ES_p10_prct_HydroQC",-0.12773257848048,0.123412159412864,0.163807727386573,0.14219235500903,0.188117482835244,0.240309343179681
"ES_p10_prct_NYISO",-3.90374063293941,-2.30308523093038,-1.96862149668572,-1.97713270759567,-1.60782136702361,-0.945605480491617
"ES_p10_prct_ISONE",-4.87916755889634,-2.97595217632776,-2.63162055234674,-2.59365606538748,-2.19565699558914,-1.10930878314481
"ES_p10_prct_total",-0.0509420581242475,-0.0215554602923196,-0.0195642319793982,-0.0201323043212389,-0.017956773536846,-0.0125367429465028
"ES_p5_prct_IESO",-0.627252153775027,-0.310017816948354,-0.180045019146143,-0.182809008450458,-0.0520949796515464,0.176183577958951
"ES_p5_prct_HydroQC",-0.135301896721858,0.118158874256159,0.159627118974502,0.137439706005997,0.184028508656879,0.237421191652013
"ES_p5_prct_NYISO",-3.92330478642158,-2.31230491168116,-1.9789174741619,-1.98818594372506,-1.61894760172085,-0.955470322026075
"ES_p5_prct_ISONE",-4.92846624633209,-2.99123687158016,-2.64885129382906,-2.61057204284815,-2.21071867094728,-1.12258261524646
"ES_p5_prct_total",-0.0595135998171137,-0.0256937566811932,-0.023332318442363,-0.0239041494333678,-0.0212702925746276,-0.0147238515177936
