"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"VaR_p10_prct_IESO",-8779.31799802142,-2047.8332254045,-477.565661422603,-671.39719439165,938.183178687557,3959.54093732378
"VaR_p10_prct_HydroQC",-5504.42979291789,1309.69110931731,2609.00404710453,2436.32980440698,3761.29064922902,6184.9028941044
"VaR_p10_prct_NYISO",-25103.0157754544,-11352.8273723778,-9361.84325249257,-9820.28449326824,-7727.94957332172,-2503.63572024843
"VaR_p10_prct_ISONE",-20099.5569576607,-9861.94941821605,-8287.53243731474,-8573.76826534084,-6924.75938289972,-3073.99895682769
"VaR_p10_prct_total",-44817.7358312455,-19183.5654367926,-14808.1801141365,-15844.8258921926,-11332.4634647091,-3783.40207759744
"VaR_p5_prct_IESO",-8951.99913425398,-2150.37235229865,-578.879189397642,-773.833045030085,836.663229640945,3865.20883954712
"VaR_p5_prct_HydroQC",-5676.2464911535,1183.31904083771,2484.53106227157,2309.75534027922,3634.7089607149,6046.66348697406
"VaR_p5_prct_NYISO",-25176.2399859273,-11441.5465643489,-9449.90485050046,-9907.9822011844,-7817.69531422715,-2608.08827324117
"VaR_p5_prct_ISONE",-20167.7294923908,-9949.8149352386,-8371.25209924223,-8659.36666506651,-7009.69222694605,-3171.83530691714
"VaR_p5_prct_total",-44975.8904613435,-19381.202296663,-14999.4130081794,-16042.2267156916,-11527.9874423308,-3896.19718555819
"ES_p10_prct_IESO",-8971.43957307214,-2185.16757734382,-613.146793748894,-809.578672514257,803.036381015228,3830.40142016101
"ES_p10_prct_HydroQC",-5816.42843174312,1140.24882116534,2439.84186607033,2265.9424195463,3589.95642330827,5972.52906519587
"ES_p10_prct_NYISO",-25228.429375817,-11473.8328689888,-9483.12095548455,-9938.65926937259,-7847.60265185173,-2601.79127463579
"ES_p10_prct_ISONE",-20195.8188260897,-9980.21066748676,-8402.40526150233,-8689.01293523139,-7037.64531305993,-3198.34784360037
"ES_p10_prct_total",-45116.9170313988,-19451.8217424724,-15077.1931551786,-16120.2796077696,-11608.0711202488,-3970.87280966911
"ES_p5_prct_IESO",-9082.59463250782,-2273.51670826081,-701.244884128661,-896.368533852251,719.311512012351,3748.93023280112
"ES_p5_prct_HydroQC",-6028.26034728277,1035.44150818752,2333.95143673965,2158.8748403991,3481.7326598456,5832.73725881662
"ES_p5_prct_NYISO",-25325.6549721096,-11548.3214489677,-9557.4449215301,-10013.1162166588,-7921.85333421418,-2654.08412020248
"ES_p5_prct_ISONE",-20262.283533948,-10056.2902461545,-8470.69965391935,-8761.3624187746,-7110.27844378425,-3276.85114469609
"ES_p5_prct_total",-45322.1508693044,-19633.6926901508,-15255.0306312576,-16297.5874637687,-11787.6845314826,-4100.59208054895
