"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"VaR_p10_IESO",-1220.71936515204,-396.894501539379,-365.517396463806,-369.71328330216,-337.074690349855,-220.927204005229
"VaR_p10_HydroQC",-1831.24644641296,-502.767547416858,-437.645981011673,-455.467010387788,-386.277379595237,-229.324663369726
"VaR_p10_NYISO",-1226.80820373333,-340.73345282158,-310.584483682741,-317.695396067149,-284.792393353129,-188.726456886887
"VaR_p10_ISONE",-831.96699727356,-332.380426512023,-303.294787125747,-308.847112896924,-277.571953744514,-166.416230980353
"VaR_p10_total",-1632.19974641183,-716.87460028756,-656.472071691022,-667.42854625285,-604.098518227128,-395.154330431943
"VaR_p5_IESO",-1694.20166747485,-505.4544116544,-466.677144533793,-472.149133940595,-431.513367537776,-289.564543467761
"VaR_p5_HydroQC",-2254.99768841367,-642.374451351999,-559.247770017431,-582.04147451555,-493.419972946833,-297.789797881326
"VaR_p5_NYISO",-1419.77939354881,-433.994241745084,-396.351020736871,-405.393103983313,-363.881071763582,-241.597017391975
"VaR_p5_ISONE",-1113.77753592279,-423.717411681173,-386.796078937675,-394.445512622591,-355.274508124738,-222.914469768141
"VaR_p5_total",-2184.60493248262,-928.689462657019,-849.513962736402,-864.829369751907,-781.749699811372,-505.970597728042
"ES_p10_IESO",-1743.097230133,-540.754495228316,-501.879758950478,-507.894761424767,-467.085830136309,-328.113463200987
"ES_p10_HydroQC",-2359.04754254114,-688.369945953105,-600.76959041845,-625.854395248472,-533.290718399619,-326.96990619246
"ES_p10_NYISO",-1534.40687271599,-464.264084573409,-425.847727570163,-436.070172171495,-393.760921791097,-270.798794896204
"ES_p10_ISONE",-1202.373739842,-452.940125881759,-415.971514642775,-424.091782787473,-384.456317258303,-238.939134589683
"ES_p10_total",-2206.48305612202,-1007.18956681138,-927.173413677592,-942.882261829837,-858.185040443108,-586.822086933703
"ES_p5_IESO",-1992.26976996378,-635.475419105817,-587.384199384895,-594.684622762761,-544.663979354938,-370.766463605
"ES_p5_HydroQC",-2838.03953105673,-807.159498024847,-703.465438577535,-732.921974395674,-623.45446410795,-391.148524133362
"ES_p5_NYISO",-1781.38610864974,-545.29621273269,-498.478915927055,-510.527119457734,-459.306310607281,-315.958161662477
"ES_p5_ISONE",-1507.94306071938,-531.807601334378,-486.78873844865,-496.441266330682,-448.29571799007,-287.283222348024
"ES_p5_total",-2614.51074703694,-1202.34220413972,-1101.16812126014,-1120.19011782894,-1012.60470513271,-663.908835965035
