Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,193.38,280.15,51.03,25.45,iso-ne.com,false,
2022-01-01 01:00:00,USA,Iso New England Inc.,US-NE-ISNE,184.22,269.41,53.45,26.4,iso-ne.com,false,
2022-01-01 02:00:00,USA,Iso New England Inc.,US-NE-ISNE,173.56,257.24,56.21,27.68,iso-ne.com,false,
2022-01-01 03:00:00,USA,Iso New England Inc.,US-NE-ISNE,162.79,244.89,58.97,28.95,iso-ne.com,false,
2022-01-01 04:00:00,USA,Iso New England Inc.,US-NE-ISNE,156.52,237.7,60.55,29.34,iso-ne.com,false,
2022-01-01 05:00:00,USA,Iso New England Inc.,US-NE-ISNE,152.61,233.42,61.73,27.78,iso-ne.com,false,
2022-01-01 06:00:00,USA,Iso New England Inc.,US-NE-ISNE,139.28,217.4,65.45,29.17,iso-ne.com,false,
2022-01-01 07:00:00,USA,Iso New England Inc.,US-NE-ISNE,145.19,225.05,63.92,26.11,iso-ne.com,false,
2022-01-01 08:00:00,USA,Iso New England Inc.,US-NE-ISNE,140.46,218.89,65.13,26.62,iso-ne.com,false,
2022-01-01 09:00:00,USA,Iso New England Inc.,US-NE-ISNE,143.63,223.12,64.3,26.39,iso-ne.com,false,
2022-01-01 10:00:00,USA,Iso New England Inc.,US-NE-ISNE,149.35,229.71,62.72,25.94,iso-ne.com,false,
2022-01-01 11:00:00,USA,Iso New England Inc.,US-NE-ISNE,151.81,232.88,62.03,26.09,iso-ne.com,false,
2022-01-01 12:00:00,USA,Iso New England Inc.,US-NE-ISNE,143.24,222.06,64.12,29.25,iso-ne.com,false,
2022-01-01 13:00:00,USA,Iso New England Inc.,US-NE-ISNE,147.73,226.64,63.08,29.62,iso-ne.com,false,
