Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,207.1,270.3,54.7,30.06,nyiso.com,false,
2022-01-01 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,205.45,268.14,55.13,29.68,nyiso.com,false,
2022-01-01 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,200.9,262.45,56.19,29.86,nyiso.com,false,
2022-01-01 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,192.06,251.04,58.51,30.65,nyiso.com,false,
2022-01-01 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,188.29,245.9,59.5,29.54,nyiso.com,false,
2022-01-01 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,186.72,243.83,59.71,28.6,nyiso.com,false,
2022-01-01 06:00:00,USA,New York Independent System Operator,US-NY-NYIS,176.44,230.7,62.26,29.29,nyiso.com,false,
2022-01-01 07:00:00,USA,New York Independent System Operator,US-NY-NYIS,175.41,229.89,62.25,29.12,nyiso.com,false,
2022-01-01 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,170.42,223.64,63.48,30.06,nyiso.com,false,
2022-01-01 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,175.81,230.69,62.03,29.72,nyiso.com,false,
2022-01-01 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,173.59,228.35,62.22,29.95,nyiso.com,false,
2022-01-01 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,172.59,227.42,62.45,31.96,nyiso.com,false,
2022-01-01 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,173.5,228.54,62.31,32.38,nyiso.com,false,
2022-01-01 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,177.19,232.66,61.91,33.39,nyiso.com,false,
2022-01-01 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,182.03,238.55,60.84,32.49,nyiso.com,false,
2022-01-01 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,190.84,250.44,58.08,30.93,nyiso.com,false,
2022-01-01 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,194.3,254.67,57.31,30.06,nyiso.com,false,
2022-01-01 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,198.0,258.9,56.68,29.43,nyiso.com,false,
2022-01-01 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,198.55,259.49,56.65,29.52,nyiso.com,false,
2022-01-01 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,197.4,257.69,57.16,29.49,nyiso.com,false,
2022-01-01 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,198.35,258.48,57.22,29.32,nyiso.com,false,
2022-01-01 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,200.76,261.8,56.37,28.82,nyiso.com,false,
2022-01-01 22:00:00,USA,New York Independent System Operator,US-NY-NYIS,195.7,256.3,57.18,30.89,nyiso.com,false,
2022-01-01 23:00:00,USA,New York Independent System Operator,US-NY-NYIS,199.11,260.71,56.22,30.36,nyiso.com,false,
2022-01-02 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,200.14,262.13,55.82,29.76,nyiso.com,false,
2022-01-02 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,199.36,260.43,56.45,29.45,nyiso.com,false,
2022-01-02 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,195.86,254.95,58.03,29.32,nyiso.com,false,
2022-01-02 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,190.89,248.99,59.11,29.98,nyiso.com,false,
2022-01-02 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,189.45,245.96,60.18,28.48,nyiso.com,false,
2022-01-02 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,176.82,230.34,62.94,28.74,nyiso.com,false,
2022-01-02 06:00:00,USA,New York Independent System Operator,US-NY-NYIS,173.39,225.03,64.47,28.71,nyiso.com,false,
2022-01-02 07:00:00,USA,New York Independent System Operator,US-NY-NYIS,173.18,225.46,64.14,28.99,nyiso.com,false,
2022-01-02 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,171.3,223.09,64.55,28.8,nyiso.com,false,
2022-01-02 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,170.33,222.5,64.42,28.99,nyiso.com,false,
2022-01-02 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,170.43,222.84,64.17,28.68,nyiso.com,false,
2022-01-02 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,175.17,229.33,62.86,29.99,nyiso.com,false,
2022-01-02 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,181.37,236.64,61.68,29.52,nyiso.com,false,
2022-01-02 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,189.67,247.33,59.58,29.72,nyiso.com,false,
2022-01-02 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,191.23,249.76,58.8,29.62,nyiso.com,false,
2022-01-02 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,190.9,249.96,58.52,30.48,nyiso.com,false,
2022-01-02 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.04,256.36,57.33,30.1,nyiso.com,false,
2022-01-02 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,200.77,261.42,56.86,29.78,nyiso.com,false,
2022-01-02 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.57,265.49,56.45,29.33,nyiso.com,false,
2022-01-02 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,203.34,264.42,56.4,29.41,nyiso.com,false,
2022-01-02 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,208.09,270.25,55.31,28.88,nyiso.com,false,
2022-01-02 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,206.99,269.49,55.18,29.48,nyiso.com,false,
2022-01-02 22:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.99,267.36,55.42,30.45,nyiso.com,false,
2022-01-02 23:00:00,USA,New York Independent System Operator,US-NY-NYIS,203.75,266.01,55.62,31.09,nyiso.com,false,
2022-01-03 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,205.69,268.21,55.29,30.5,nyiso.com,false,
2022-01-03 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,208.59,271.66,54.61,29.4,nyiso.com,false,
2022-01-03 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,205.16,267.73,55.09,29.03,nyiso.com,false,
2022-01-03 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,203.27,265.31,55.56,28.75,nyiso.com,false,
2022-01-03 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,202.18,263.74,55.81,27.09,nyiso.com,false,
2022-01-03 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,199.05,259.62,56.63,26.2,nyiso.com,false,
2022-01-03 06:00:00,USA,New York Independent System Operator,US-NY-NYIS,197.26,256.65,57.58,25.63,nyiso.com,false,
2022-01-03 07:00:00,USA,New York Independent System Operator,US-NY-NYIS,192.54,251.09,58.5,26.23,nyiso.com,false,
2022-01-03 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.86,256.16,57.73,25.64,nyiso.com,false,
2022-01-03 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,200.38,261.1,56.5,25.2,nyiso.com,false,
2022-01-03 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,200.85,262.2,56.11,26.18,nyiso.com,false,
2022-01-03 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,197.94,259.88,56.06,29.17,nyiso.com,false,
2022-01-03 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,203.77,268.01,54.23,30.15,nyiso.com,false,
2022-01-03 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,213.93,280.39,52.04,29.26,nyiso.com,false,
2022-01-03 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,221.06,288.74,50.72,28.28,nyiso.com,false,
2022-01-03 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,218.25,284.94,51.67,29.09,nyiso.com,false,
2022-01-03 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,216.94,283.27,52.0,29.37,nyiso.com,false,
2022-01-03 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,219.96,286.42,51.68,28.43,nyiso.com,false,
2022-01-03 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,217.87,283.92,52.16,29.13,nyiso.com,false,
2022-01-03 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,206.08,270.05,54.53,32.06,nyiso.com,false,
2022-01-03 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,216.14,282.19,52.28,29.73,nyiso.com,false,
2022-01-03 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,227.13,295.53,49.79,27.57,nyiso.com,false,
2022-01-03 22:00:00,USA,New York Independent System Operator,US-NY-NYIS,226.69,295.49,49.58,28.36,nyiso.com,false,
2022-01-03 23:00:00,USA,New York Independent System Operator,US-NY-NYIS,229.53,298.8,49.06,27.81,nyiso.com,false,
2022-01-04 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,222.74,289.96,51.0,29.55,nyiso.com,false,
2022-01-04 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,218.53,284.74,51.9,29.63,nyiso.com,false,
2022-01-04 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,212.69,276.67,53.91,30.23,nyiso.com,false,
2022-01-04 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,207.18,269.71,55.28,30.34,nyiso.com,false,
2022-01-04 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,200.25,261.3,56.65,30.35,nyiso.com,false,
2022-01-04 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,191.16,249.99,58.4,30.18,nyiso.com,false,
2022-01-04 06:00:00,USA,New York Independent System Operator,US-NY-NYIS,193.55,252.41,58.19,29.89,nyiso.com,false,
2022-01-04 07:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.19,255.52,57.65,29.31,nyiso.com,false,
2022-01-04 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,198.35,257.87,57.35,28.83,nyiso.com,false,
2022-01-04 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,213.12,275.37,54.22,25.49,nyiso.com,false,
2022-01-04 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,209.73,272.22,54.36,26.92,nyiso.com,false,
2022-01-04 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,217.82,282.79,52.17,26.85,nyiso.com,false,
2022-01-04 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,216.79,282.98,51.53,28.53,nyiso.com,false,
2022-01-04 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,215.19,280.59,52.39,29.89,nyiso.com,false,
2022-01-04 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,217.84,283.63,51.89,29.24,nyiso.com,false,
2022-01-04 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,220.56,286.73,51.4,28.64,nyiso.com,false,
2022-01-04 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,220.23,286.16,51.66,29.12,nyiso.com,false,
2022-01-04 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,218.27,283.35,52.43,29.52,nyiso.com,false,
2022-01-04 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,217.84,282.49,52.85,29.61,nyiso.com,false,
2022-01-04 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,216.99,281.53,52.93,28.99,nyiso.com,false,
2022-01-04 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,216.24,280.83,52.95,29.05,nyiso.com,false,
2022-01-04 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,220.73,287.01,51.37,28.37,nyiso.com,false,
2022-01-04 22:00:00,USA,New York Independent System Operator,US-NY-NYIS,219.78,286.67,51.09,30.26,nyiso.com,false,
2022-01-04 23:00:00,USA,New York Independent System Operator,US-NY-NYIS,220.66,287.22,51.14,29.94,nyiso.com,false,
2022-01-05 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,222.83,289.37,50.94,29.44,nyiso.com,false,
2022-01-05 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,217.75,282.85,52.35,30.07,nyiso.com,false,
2022-01-05 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,207.98,271.03,54.44,31.39,nyiso.com,false,
2022-01-05 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.9,267.03,55.32,31.81,nyiso.com,false,
2022-01-05 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,202.75,263.78,55.95,30.25,nyiso.com,false,
2022-01-05 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,186.68,243.46,59.96,32.39,nyiso.com,false,
2022-01-05 06:00:00,USA,New York Independent System Operator,US-NY-NYIS,181.76,237.1,61.25,32.47,nyiso.com,false,
2022-01-05 07:00:00,USA,New York Independent System Operator,US-NY-NYIS,185.75,241.08,60.9,31.39,nyiso.com,false,
2022-01-05 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,182.05,236.58,61.79,32.28,nyiso.com,false,
2022-01-05 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,179.67,234.42,61.78,32.62,nyiso.com,false,
2022-01-05 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,179.42,233.85,61.99,33.04,nyiso.com,false,
2022-01-05 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,186.29,242.74,60.07,32.7,nyiso.com,false,
2022-01-05 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,195.2,254.14,57.85,32.51,nyiso.com,false,
2022-01-05 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,203.94,264.22,56.5,32.15,nyiso.com,false,
2022-01-05 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.2,264.38,56.76,33.17,nyiso.com,false,
2022-01-05 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,206.58,268.11,55.61,32.61,nyiso.com,false,
2022-01-05 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,207.42,270.43,54.34,31.71,nyiso.com,false,
2022-01-05 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.25,266.02,55.36,31.95,nyiso.com,false,
2022-01-05 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.57,265.26,56.28,32.56,nyiso.com,false,
2022-01-05 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,196.64,256.35,57.5,33.8,nyiso.com,false,
2022-01-05 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,198.32,259.15,56.72,34.09,nyiso.com,false,
2022-01-05 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.05,266.21,55.38,33.17,nyiso.com,false,
2022-01-05 22:00:00,USA,New York Independent System Operator,US-NY-NYIS,204.1,266.84,54.95,33.53,nyiso.com,false,
2022-01-05 23:00:00,USA,New York Independent System Operator,US-NY-NYIS,202.62,265.28,55.02,33.57,nyiso.com,false,
2022-01-06 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,199.87,261.51,56.0,34.37,nyiso.com,false,
2022-01-06 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,190.27,250.43,57.65,35.41,nyiso.com,false,
2022-01-06 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,183.13,241.42,59.4,36.13,nyiso.com,false,
2022-01-06 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,181.21,237.77,60.59,35.46,nyiso.com,false,
2022-01-06 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,181.77,238.29,60.38,33.47,nyiso.com,false,
2022-01-06 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,173.91,229.03,61.81,34.73,nyiso.com,false,
